,train_loss,valid_loss,train_misclass,valid_misclass,runtime
0,2.831390619277954,2.5790300369262695,0.7522271714922049,0.7416666666666667,0.0
1,1.4405454397201538,1.399876356124878,0.7488864142538976,0.75,13.750196933746338
2,1.4092429876327515,1.4064065217971802,0.7405345211581291,0.7583333333333333,12.069714069366455
3,1.4784971475601196,1.4086412191390991,0.7427616926503341,0.7375,12.105623722076416
4,1.4001970291137695,1.3978513479232788,0.7455456570155903,0.7416666666666667,12.180439472198486
5,1.4611088037490845,1.3887938261032104,0.7310690423162584,0.7458333333333333,12.149506092071533
6,1.3946138620376587,1.3838399648666382,0.7355233853006682,0.7208333333333333,12.17244839668274
7,1.4041553735733032,1.3848731517791748,0.7360801781737194,0.7458333333333333,12.184412479400635
8,1.4006026983261108,1.393125057220459,0.7282850779510022,0.7416666666666667,12.169455528259277
9,1.3756119012832642,1.3910666704177856,0.7082405345211582,0.7708333333333334,12.169495105743408
10,1.3840910196304321,1.383890986442566,0.7260579064587973,0.725,12.18039608001709
11,1.3816174268722534,1.3888123035430908,0.7076837416481069,0.7041666666666666,12.170451879501343
12,1.375327467918396,1.3902301788330078,0.7048997772828508,0.7541666666666667,12.248242378234863
13,1.3686472177505493,1.3880410194396973,0.6876391982182628,0.7166666666666667,12.268221378326416
14,1.3758021593093872,1.3922369480133057,0.6982182628062361,0.7625,12.263178825378418
15,1.3599039316177368,1.3804665803909302,0.6798440979955457,0.7166666666666667,12.250236988067627
